G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
2,2022-11-11,Mississippi State,L,54,73,16,49,.327,6,27,.222,16,24,.667,5,20,13,8,1,9,15,29,55,.527,7,14,.500,8,13,.615,10,40,17,9,0,14,21
3,2022-11-15,Morgan State,W,65,59,22,61,.361,6,25,.240,15,27,.556,15,37,13,8,7,11,11,24,64,.375,6,15,.400,5,7,.714,13,37,14,4,10,15,27
4,2022-11-21,Western Kentucky,W,72,53,27,48,.563,9,22,.409,9,15,.600,9,39,10,3,0,13,16,20,54,.370,6,21,.286,7,13,.538,4,14,12,7,1,5,14
5,2022-11-22,LSU,L,58,73,14,54,.259,8,25,.320,22,30,.733,15,31,8,4,1,13,14,25,52,.481,9,19,.474,14,16,.875,5,25,14,9,3,9,23
6,2022-11-23,Nevada,L,58,62,22,51,.431,7,22,.318,7,11,.636,3,29,8,6,1,13,19,21,57,.368,9,21,.429,11,13,.846,8,30,13,3,3,9,14
7,2022-11-30,Marshall,L,57,68,24,71,.338,5,25,.200,4,11,.364,14,44,12,5,0,10,15,25,61,.410,8,28,.286,10,15,.667,6,33,13,8,9,10,13
8,2022-12-04,Muskingum,W,80,33,30,59,.508,15,33,.455,5,16,.313,11,38,19,13,4,12,13,13,52,.250,6,29,.207,1,7,.143,3,24,6,6,3,16,9
9,2022-12-11,Jackson State,W,85,72,28,52,.538,11,28,.393,18,21,.857,5,25,19,7,4,9,10,32,63,.508,3,9,.333,5,7,.714,7,25,14,6,1,12,20
10,2022-12-14,Wright State,W,66,54,25,62,.403,6,26,.231,10,14,.714,9,39,11,10,2,11,16,23,63,.365,3,10,.300,5,8,.625,8,32,10,3,4,14,17
11,2022-12-19,Maine,W,87,55,31,57,.544,11,20,.550,14,16,.875,9,34,17,10,2,16,12,20,46,.435,8,20,.400,7,12,.583,3,16,11,10,0,22,17
12,2022-12-22,Bradley,L,55,74,16,57,.281,8,21,.381,15,18,.833,10,39,6,5,2,15,12,27,64,.422,14,30,.467,6,9,.667,8,37,16,9,4,8,19
13,2022-12-30,Concord,W,84,58,27,59,.458,12,31,.387,18,28,.643,9,38,21,7,2,10,14,23,59,.390,4,17,.235,8,11,.727,7,29,8,6,2,17,21
14,2023-01-03,Northern Illinois,W,76,51,26,57,.456,6,20,.300,18,23,.783,8,31,11,7,4,12,19,18,51,.353,2,15,.133,13,18,.722,10,28,5,5,4,17,24
15,2023-01-06,Ball State,L,63,70,19,49,.388,3,12,.250,22,26,.846,9,31,3,6,3,16,26,23,58,.397,3,14,.214,21,28,.750,15,32,6,7,6,10,18
16,2023-01-10,Bowling Green State,W,74,70,25,62,.403,11,30,.367,13,14,.929,8,32,14,7,3,9,12,26,53,.491,10,21,.476,8,13,.615,3,32,15,6,3,12,17
17,2023-01-13,Eastern Michigan,W,104,67,34,63,.540,10,33,.303,26,32,.813,8,41,22,2,1,7,18,20,57,.351,5,23,.217,22,26,.846,2,23,7,5,1,7,20
18,2023-01-17,Central Michigan,W,69,51,23,55,.418,8,26,.308,15,22,.682,6,31,13,7,2,9,19,16,47,.340,8,20,.400,11,16,.688,6,30,9,3,5,15,18
19,2023-01-21,Western Michigan,W,63,55,23,63,.365,8,35,.229,9,12,.750,6,29,9,8,5,3,16,21,55,.382,5,20,.250,8,12,.667,9,38,15,2,3,14,19
20,2023-01-24,Miami (OH),W,73,68,23,53,.434,12,32,.375,15,17,.882,10,28,14,1,3,9,20,24,46,.522,6,17,.353,14,20,.700,6,22,10,4,0,9,22
21,2023-01-28,Ohio,W,83,77,28,50,.560,9,16,.563,18,25,.720,7,31,13,3,0,10,13,29,56,.518,10,26,.385,9,15,.600,6,22,12,5,2,6,21
