G,Date,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
17,2023-01-14,Texas,L,70,72,24,61,.393,8,21,.381,14,20,.700,10,34,8,4,1,15,22,23,53,.434,8,28,.286,18,24,.750,4,27,12,7,9,13,15
18,2023-01-17,Baylor,L,74,81,27,53,.509,12,31,.387,8,15,.533,10,29,17,2,2,9,14,28,58,.483,11,29,.379,14,18,.778,11,28,16,7,1,3,18
19,2023-01-21,Kansas State,L,58,68,23,71,.324,7,29,.241,5,12,.417,18,36,10,8,2,10,18,20,47,.426,8,25,.320,20,27,.741,9,32,15,4,5,14,13
20,2023-01-25,West Virginia,L,61,76,21,54,.389,3,20,.150,16,23,.696,11,22,9,7,3,12,26,19,51,.373,10,35,.286,28,35,.800,17,41,8,5,3,18,21
21,2023-01-28,LSU,W,76,68,25,54,.463,11,18,.611,15,21,.714,14,35,14,9,5,10,17,22,59,.373,9,26,.346,15,19,.789,15,31,10,6,4,10,16
22,2023-01-30,Iowa State,W (1 OT),80,77,24,60,.400,6,23,.261,26,37,.703,12,35,12,9,0,8,15,28,59,.475,9,27,.333,12,21,.571,11,36,11,6,6,17,28
23,2023-02-04,Baylor,L,62,89,24,55,.436,5,20,.250,9,11,.818,3,23,13,4,1,12,15,35,65,.538,10,24,.417,9,13,.692,8,32,26,4,1,8,13
24,2023-02-08,Oklahoma State,L,68,71,26,56,.464,6,18,.333,10,11,.909,7,29,9,4,1,15,19,26,59,.441,5,23,.217,14,24,.583,12,33,12,8,2,10,18
25,2023-02-11,Kansas State,W,71,63,23,55,.418,7,25,.280,18,25,.720,5,29,12,14,4,17,24,19,54,.352,6,26,.231,19,28,.679,12,35,11,9,1,23,22
26,2023-02-13,Texas,W,74,67,27,58,.466,7,14,.500,13,14,.929,9,38,10,4,7,12,15,23,59,.390,11,27,.407,10,17,.588,7,23,16,8,2,6,15
27,2023-02-18,West Virginia,W,78,72,29,62,.468,6,14,.429,14,19,.737,15,39,7,9,2,10,13,27,62,.435,11,28,.393,7,9,.778,10,28,14,5,3,11,14
28,2023-02-21,Oklahoma,W,74,63,29,47,.617,7,12,.583,9,14,.643,5,36,11,4,1,16,17,21,59,.356,9,33,.273,12,15,.800,6,19,13,10,1,8,12
29,2023-02-25,TCU,L,82,83,30,60,.500,7,20,.350,15,21,.714,11,30,13,3,2,12,10,33,68,.485,6,21,.286,11,13,.846,12,29,19,6,2,7,18
30,2023-02-28,Kansas,L,63,67,25,61,.410,3,16,.188,10,14,.714,9,41,9,3,0,8,15,22,56,.393,5,23,.217,18,22,.818,3,28,13,6,8,5,12
31,2023-03-04,Oklahoma State,L,68,71,23,60,.383,14,30,.467,8,9,.889,9,32,16,4,1,10,11,27,61,.443,12,33,.364,5,10,.500,11,35,16,4,6,11,11
32,2023-03-08,West Virginia,L,62,78,20,55,.364,6,23,.261,16,17,.941,14,34,11,4,4,15,16,27,66,.409,9,26,.346,15,17,.882,17,37,14,9,4,9,13
1,2022-11-07,Kansas State,L,59,93,20,51,.392,4,15,.267,15,22,.682,7,33,9,5,2,25,22,30,66,.455,12,27,.444,21,29,.724,12,37,25,9,2,14,20
2,2022-11-12,Southwestern Adventist,W,115,33,41,78,.526,11,28,.393,22,25,.880,23,64,35,7,9,8,15,11,61,.180,3,25,.120,8,17,.471,7,20,6,5,0,14,19
3,2022-11-14,St. Francis (IL),W,77,51,27,53,.509,6,16,.375,17,28,.607,9,34,14,7,3,14,12,19,56,.339,6,24,.250,7,11,.636,9,27,13,5,5,18,21
4,2022-11-17,Texas A&M-Corpus Christi,L,75,97,26,40,.650,5,11,.455,18,30,.600,5,25,16,3,4,24,20,34,70,.486,11,27,.407,18,20,.900,12,29,22,14,0,9,24
5,2022-11-21,Western Illinois,W,78,77,26,54,.481,3,9,.333,23,35,.657,5,32,17,3,2,11,19,27,55,.491,7,18,.389,16,23,.696,4,30,22,4,6,14,27
6,2022-11-22,Northern Arizona,W,91,79,28,56,.500,4,16,.250,31,35,.886,11,33,16,6,3,12,17,28,62,.452,12,31,.387,11,13,.846,8,22,24,7,5,17,26
7,2022-11-26,Texas,L,54,91,19,54,.352,1,9,.111,15,27,.556,11,36,6,4,4,22,19,33,72,.458,10,30,.333,15,22,.682,16,44,15,12,9,10,21
8,2022-11-30,Texas A&M-Corpus Christi,W,89,82,28,53,.528,9,23,.391,24,32,.750,10,32,16,2,6,17,21,30,64,.469,5,19,.263,17,18,.944,7,21,21,9,0,12,29
9,2022-12-03,Western Illinois,L,72,90,29,57,.509,6,15,.400,8,19,.421,7,29,8,2,1,20,23,32,62,.516,8,22,.364,18,29,.621,8,28,19,11,2,8,15
10,2022-12-10,Houston Christian,W,95,82,32,58,.552,9,19,.474,22,35,.629,11,41,16,8,3,21,18,29,65,.446,8,23,.348,16,21,.762,7,27,12,9,7,15,24
11,2022-12-15,Southwestern Christian,W,106,80,40,66,.606,12,27,.444,14,18,.778,8,41,27,8,5,17,9,30,67,.448,13,35,.371,7,10,.700,4,22,19,9,3,15,13
12,2022-12-18,Houston Christian,W,100,90,33,60,.550,7,22,.318,27,37,.730,9,33,22,6,5,12,28,29,62,.468,6,19,.316,26,35,.743,9,27,21,8,3,12,26
13,2022-12-29,Utah Tech,L,66,81,25,67,.373,6,26,.231,10,15,.667,7,23,12,6,2,10,23,24,56,.429,9,24,.375,24,31,.774,14,47,18,5,4,17,18
14,2022-12-31,Southern Utah,L (1 OT),88,94,34,75,.453,6,20,.300,14,20,.700,9,33,8,8,6,17,29,31,65,.477,5,15,.333,27,37,.730,8,38,16,6,6,11,20
15,2023-01-05,Seattle,L,64,66,22,64,.344,7,19,.368,13,17,.765,10,46,15,2,2,15,13,26,74,.351,7,35,.200,7,14,.500,11,41,15,5,7,6,17
16,2023-01-07,Utah Valley,L,61,75,21,66,.318,7,24,.292,12,18,.667,11,32,14,7,1,12,16,26,56,.464,6,20,.300,17,18,.944,8,38,15,7,12,16,16
17,2023-01-11,Abilene Christian,W,103,86,31,46,.674,7,15,.467,34,48,.708,5,38,21,5,10,25,23,29,72,.403,5,19,.263,23,27,.852,8,19,23,13,3,10,34
18,2023-01-14,Chicago State,W,85,82,28,59,.475,5,21,.238,24,32,.750,11,34,18,3,1,7,15,29,57,.509,12,31,.387,12,18,.667,5,27,18,4,1,10,23
19,2023-01-19,UT Arlington,L,73,85,24,48,.500,9,22,.409,16,25,.640,4,25,12,5,2,17,21,31,64,.484,11,24,.458,12,18,.667,11,35,26,6,0,11,26
20,2023-01-21,Sam Houston State,L,64,83,16,41,.390,8,18,.444,24,31,.774,6,26,8,2,1,21,23,28,58,.483,9,21,.429,18,23,.783,9,33,14,9,1,10,26
21,2023-01-25,Stephen F. Austin,L,66,83,20,52,.385,6,17,.353,20,28,.714,10,31,12,7,3,25,30,27,60,.450,5,14,.357,24,35,.686,13,37,18,14,3,18,23
22,2023-01-28,California Baptist,W,64,58,22,56,.393,6,17,.353,14,18,.778,10,42,17,3,4,16,19,21,56,.375,5,22,.227,11,13,.846,2,23,8,5,3,10,19
23,2023-02-01,Sam Houston State,L,65,67,23,49,.469,10,23,.435,9,11,.818,6,21,18,5,3,10,13,27,50,.540,7,19,.368,6,10,.600,8,25,10,6,1,11,16
24,2023-02-04,Tarleton State,W,68,65,23,49,.469,7,23,.304,15,20,.750,6,32,11,4,3,14,21,19,50,.380,4,13,.308,23,31,.742,3,21,7,7,4,10,20
25,2023-02-09,UT Arlington,L,58,64,20,53,.377,8,29,.276,10,18,.556,7,29,13,4,2,17,19,25,56,.446,6,20,.300,8,16,.500,9,34,15,8,2,13,19
26,2023-02-11,Stephen F. Austin,L,72,82,21,52,.404,4,19,.211,26,39,.667,9,25,13,9,5,16,21,30,61,.492,6,15,.400,16,19,.842,13,37,19,10,3,15,31
27,2023-02-15,Grand Canyon,W,77,76,29,77,.377,8,22,.364,11,13,.846,16,41,10,2,0,6,19,30,64,.469,6,18,.333,10,19,.526,13,39,10,4,8,6,17
29,2023-02-20,SW Assembl. of God,W,113,65,49,87,.563,9,36,.250,6,11,.545,18,60,36,4,3,12,15,22,70,.314,9,37,.243,12,15,.800,0,19,13,7,3,13,13
30,2023-02-23,Utah Tech,L,81,88,30,62,.484,8,23,.348,13,21,.619,9,25,13,5,2,10,26,26,51,.510,10,23,.435,26,36,.722,8,34,14,4,4,14,20
31,2023-02-25,Tarleton State,W (1 OT),99,95,31,53,.585,9,22,.409,28,34,.824,5,36,23,1,1,25,28,32,65,.492,1,11,.091,30,38,.789,4,17,20,18,3,9,31
32,2023-03-01,California Baptist,L,70,88,25,64,.391,4,17,.235,16,24,.667,5,26,14,5,3,5,20,28,64,.438,11,28,.393,21,26,.808,10,44,20,3,2,11,25
33,2023-03-07,Tarleton State,L,70,74,25,52,.481,11,32,.344,9,16,.563,5,23,15,3,3,16,24,24,52,.462,3,7,.429,23,26,.885,10,33,14,7,1,10,21
1,2022-11-07,Clemson,L,69,80,24,56,.429,11,25,.440,10,12,.833,5,28,11,1,3,12,18,30,65,.462,7,22,.318,13,18,.722,13,40,19,8,1,8,15
2,2022-11-10,Presbyterian,W,70,58,28,55,.509,5,14,.357,9,11,.818,6,28,12,5,4,10,12,22,61,.361,6,25,.240,8,15,.533,14,34,9,6,7,11,15
3,2022-11-15,Morris College,W,109,66,39,83,.470,14,43,.326,17,21,.810,20,67,23,3,3,12,14,21,75,.280,9,36,.250,15,21,.714,6,30,7,9,2,6,16
4,2022-11-19,Butler,L,42,89,16,52,.308,5,21,.238,5,9,.556,5,22,6,6,3,17,7,33,60,.550,17,31,.548,6,10,.600,10,41,22,12,11,13,7
5,2022-11-23,New Orleans,W,72,65,23,57,.404,7,24,.292,19,23,.826,8,38,16,6,1,18,22,20,60,.333,5,20,.250,20,25,.800,7,31,12,12,1,15,20
6,2022-11-24,Denver,L,71,74,25,55,.455,7,23,.304,14,17,.824,3,25,13,7,1,10,24,24,54,.444,4,14,.286,22,31,.710,11,35,13,2,2,14,15
7,2022-11-25,IUPUI,W,74,53,27,61,.443,8,27,.296,12,12,1.000,14,40,14,6,1,14,13,18,53,.340,7,22,.318,10,14,.714,8,23,10,7,1,14,15
8,2022-11-30,Charleston Southern,W,76,73,23,49,.469,7,17,.412,23,29,.793,3,28,9,3,2,6,18,27,60,.450,7,27,.259,12,20,.600,10,34,9,3,5,10,23
9,2022-12-03,College of Charleston,L,57,79,20,57,.351,2,14,.143,15,23,.652,3,30,6,5,2,8,20,27,69,.391,9,36,.250,16,22,.727,17,53,12,2,6,8,22
10,2022-12-13,UNC,L,67,100,29,72,.403,8,27,.296,1,5,.200,8,29,12,7,2,12,18,32,65,.492,15,31,.484,21,27,.778,12,45,24,9,5,12,11
11,2022-12-17,Longwood,L,70,75,26,53,.491,11,28,.393,7,10,.700,4,24,18,5,2,11,20,24,56,.429,8,24,.333,19,23,.826,13,31,11,6,3,11,13
12,2022-12-20,North Carolina Central,L,74,81,28,60,.467,7,28,.250,11,15,.733,7,25,12,9,3,17,29,28,55,.509,2,10,.200,23,34,.676,11,36,11,7,0,15,17
13,2022-12-29,Chattanooga,W,76,68,24,52,.462,9,22,.409,19,22,.864,8,35,14,4,5,13,14,23,65,.354,14,39,.359,8,10,.800,14,33,19,11,7,10,21
14,2022-12-31,Samford,L,63,75,20,58,.345,9,23,.391,14,16,.875,5,25,12,5,1,8,25,21,47,.447,4,20,.200,29,34,.853,8,41,10,3,3,13,17
15,2023-01-04,Furman,L,72,97,24,59,.407,6,18,.333,18,30,.600,4,22,10,6,3,7,16,32,55,.582,12,26,.462,21,24,.875,4,36,23,4,2,11,23
16,2023-01-07,Wofford,L,57,77,24,61,.393,3,23,.130,6,8,.750,6,30,11,6,0,14,14,31,58,.534,9,26,.346,6,12,.500,6,34,17,10,3,15,12
17,2023-01-11,ETSU,L,74,96,26,56,.464,6,18,.333,16,20,.800,9,30,12,8,5,20,17,34,64,.531,12,24,.500,16,21,.762,13,32,17,16,4,11,14
18,2023-01-14,Western Carolina,W,65,61,22,56,.393,9,21,.429,12,14,.857,3,26,11,8,9,7,16,24,61,.393,4,25,.160,9,11,.818,9,39,8,3,5,10,14
19,2023-01-19,UNC Greensboro,L,60,70,20,45,.444,4,14,.286,16,24,.667,6,29,8,5,1,19,21,23,51,.451,4,19,.211,20,26,.769,9,33,10,12,4,12,21
20,2023-01-21,VMI,W,60,52,18,46,.391,7,23,.304,17,17,1.000,4,31,12,3,3,14,13,18,56,.321,9,25,.360,7,11,.636,10,33,11,8,2,9,17
21,2023-01-25,Western Carolina,W,81,70,29,55,.527,9,22,.409,14,18,.778,6,34,18,5,3,9,15,26,59,.441,4,21,.190,14,20,.700,6,26,8,5,1,8,18
22,2023-01-28,Mercer,L,65,74,24,56,.429,6,19,.316,11,16,.688,2,20,8,3,0,5,21,26,54,.481,3,13,.231,19,29,.655,7,36,12,3,2,6,20
23,2023-01-30,Chicago State,L,75,76,29,56,.518,10,23,.435,7,14,.500,3,22,16,6,1,7,19,27,54,.500,8,22,.364,14,19,.737,9,35,14,5,3,11,15
24,2023-02-02,VMI,L,69,75,24,58,.414,13,32,.406,8,11,.727,4,30,15,2,1,4,11,28,65,.431,10,34,.294,9,11,.818,12,40,12,3,2,2,9
25,2023-02-04,UNC Greensboro,L,59,79,21,50,.420,9,20,.450,8,10,.800,6,20,11,7,0,15,17,28,54,.519,9,21,.429,14,21,.667,11,32,12,10,3,13,13
26,2023-02-08,Chattanooga,L,63,82,23,51,.451,6,21,.286,11,14,.786,7,32,9,8,2,20,10,31,63,.492,15,34,.441,5,7,.714,6,26,14,13,4,12,13
27,2023-02-11,Samford,L,70,76,26,50,.520,9,22,.409,9,11,.818,3,25,11,9,2,21,22,25,52,.481,6,22,.273,20,29,.690,6,26,8,13,2,15,14
28,2023-02-15,Furman,W,69,65,27,58,.466,5,18,.278,10,12,.833,10,33,8,9,8,6,15,24,55,.436,9,28,.321,8,13,.615,9,31,17,4,5,12,12
29,2023-02-18,Wofford,L,68,72,25,47,.532,10,21,.476,8,13,.615,5,25,14,5,7,16,15,27,60,.450,9,22,.409,9,11,.818,10,28,19,8,2,9,16
30,2023-02-22,ETSU,L,70,78,24,55,.436,4,20,.200,18,20,.900,6,26,5,4,3,8,17,26,52,.500,8,18,.444,18,25,.720,10,33,11,4,4,10,16
31,2023-02-25,Mercer,L,50,72,20,57,.351,1,15,.067,9,14,.643,8,27,3,4,2,8,13,27,52,.519,10,23,.435,8,14,.571,9,37,12,5,3,10,15
32,2023-03-03,Mercer,L,41,66,13,50,.260,1,16,.063,14,23,.609,7,20,5,6,2,9,13,24,51,.471,5,17,.294,13,18,.722,13,44,14,5,4,16,19
1,2022-11-07,Valparaiso,W,85,70,32,70,.457,8,20,.400,13,16,.813,11,35,16,14,4,8,13,30,61,.492,6,14,.429,4,6,.667,5,28,16,5,1,17,17
2,2022-11-11,UAB,W,93,85,34,64,.531,5,14,.357,20,28,.714,9,28,14,10,4,19,17,31,70,.443,5,21,.238,18,21,.857,16,38,19,11,4,22,27
3,2022-11-11,UAB,W,93,85,34,64,.531,5,14,.357,20,28,.714,9,28,14,10,4,19,17,31,70,.443,5,21,.238,18,21,.857,16,38,19,11,4,22,27
4,2022-11-16,Oakland,W,112,90,45,73,.616,14,26,.538,8,15,.533,10,46,29,3,4,9,17,32,77,.416,13,36,.361,13,16,.813,9,28,15,3,3,5,15
5,2022-11-21,Kansas City,L,71,83,26,66,.394,8,29,.276,11,13,.846,11,25,9,6,3,8,17,27,50,.540,6,14,.429,23,28,.821,9,35,11,4,4,10,12
6,2022-11-22,East Carolina,L,75,86,27,61,.443,6,16,.375,15,18,.833,8,23,7,4,2,9,19,28,59,.475,12,25,.480,18,22,.818,11,35,15,6,4,12,20
7,2022-11-23,Northern Kentucky,W,82,69,30,61,.492,10,29,.345,12,14,.857,10,32,17,5,3,15,15,26,57,.456,7,20,.350,10,15,.667,11,28,12,11,2,16,16
8,2022-11-30,Richmond,W,90,67,31,63,.492,9,22,.409,19,23,.826,9,41,19,11,4,9,18,21,58,.362,11,27,.407,14,20,.700,7,28,13,7,3,13,20
9,2022-12-03,George Mason,L,73,80,27,66,.409,4,16,.250,15,20,.750,8,28,9,8,3,12,23,28,55,.509,7,16,.438,17,27,.630,10,35,14,2,9,14,18
10,2022-12-06,Northern Iowa,W,83,75,30,58,.517,10,24,.417,13,13,1.000,7,24,18,8,2,12,12,28,58,.483,9,26,.346,10,13,.769,8,24,12,8,0,17,15
11,2022-12-10,Canisius,W,69,68,21,54,.389,3,15,.200,24,36,.667,7,34,10,12,4,15,17,26,69,.377,4,23,.174,12,16,.750,16,44,12,6,1,20,24
12,2022-12-17,Marshall,L,85,100,32,71,.451,10,25,.400,11,18,.611,12,36,18,4,1,8,16,35,73,.479,10,28,.357,20,24,.833,13,41,23,7,9,7,16
13,2022-12-20,Vermont,W,84,72,33,61,.541,8,15,.533,10,13,.769,8,41,11,3,4,11,14,28,66,.424,11,27,.407,5,9,.556,6,25,11,2,4,6,10
14,2022-12-29,Lourdes,W,103,88,35,64,.547,10,29,.345,23,30,.767,13,37,22,6,3,10,11,32,64,.500,13,24,.542,11,11,1.000,5,24,15,6,1,11,22
15,2023-01-03,Ball State,L,83,90,30,58,.517,7,18,.389,16,22,.727,2,20,11,5,1,4,19,31,59,.525,11,22,.500,17,20,.850,10,38,14,2,3,10,22
16,2023-01-06,Western Michigan,W,102,74,33,63,.524,13,24,.542,23,29,.793,10,35,20,7,3,8,19,24,62,.387,8,25,.320,18,23,.783,14,37,14,4,5,12,22
17,2023-01-10,Kent State,L,63,75,24,57,.421,7,27,.259,8,13,.615,6,28,11,4,2,11,19,27,70,.386,9,27,.333,12,18,.667,19,42,8,7,5,6,15
18,2023-01-14,Northern Illinois,W,84,67,25,56,.446,6,19,.316,28,38,.737,13,39,17,10,7,12,24,21,53,.396,10,24,.417,15,24,.625,7,26,11,5,2,15,25
19,2023-01-17,Ohio,W,90,75,30,54,.556,12,23,.522,18,26,.692,7,32,17,7,3,15,15,29,67,.433,6,24,.250,11,13,.846,12,32,13,10,2,14,21
20,2023-01-20,Buffalo,W,86,77,33,65,.508,9,23,.391,11,17,.647,10,35,16,7,4,11,16,29,62,.468,7,17,.412,12,16,.750,10,32,21,6,3,13,16
21,2023-01-24,Eastern Michigan,W,84,79,26,61,.426,12,28,.429,20,25,.800,6,30,15,6,0,4,11,31,57,.544,11,26,.423,6,8,.750,3,31,12,2,4,11,20
22,2023-01-28,Bowling Green State,W,91,77,35,66,.530,7,27,.259,14,18,.778,9,30,17,8,1,5,16,30,59,.508,5,19,.263,12,15,.800,10,34,16,3,2,15,17
23,2023-01-31,Miami (OH),W,81,78,33,64,.516,9,22,.409,6,10,.600,7,26,14,8,2,8,14,31,58,.534,10,24,.417,6,11,.545,9,32,14,3,2,11,18
24,2023-02-04,Central Michigan,W,84,59,28,61,.459,11,27,.407,17,20,.850,6,25,15,9,1,6,20,20,38,.526,4,15,.267,15,26,.577,2,25,11,4,4,20,22
25,2023-02-07,Akron,W,84,74,26,50,.520,9,18,.500,23,28,.821,7,32,14,1,4,8,12,27,66,.409,11,32,.344,9,11,.818,11,27,11,5,2,10,23
26,2023-02-11,Eastern Michigan,W,70,63,24,61,.393,5,23,.217,17,20,.850,12,39,11,6,1,13,9,26,65,.400,8,21,.381,3,3,1.000,11,31,9,8,5,12,17
27,2023-02-14,Miami (OH),W,89,71,26,52,.500,7,18,.389,30,36,.833,10,27,12,4,4,5,15,30,61,.492,6,21,.286,5,6,.833,6,26,21,2,3,9,28
28,2023-02-18,Bowling Green State,W,91,86,28,55,.509,11,21,.524,24,28,.857,3,22,16,6,3,11,13,32,59,.542,11,25,.440,11,13,.846,5,28,19,8,2,13,19
29,2023-02-21,Akron,W,84,63,32,61,.525,10,20,.500,10,13,.769,7,32,16,7,7,7,17,26,59,.441,4,21,.190,7,14,.500,9,32,10,3,0,10,11
30,2023-02-25,Buffalo,W,101,71,39,66,.591,13,23,.565,10,15,.667,6,33,25,5,2,5,15,26,66,.394,7,25,.280,12,15,.800,11,32,13,3,5,12,16
31,2023-02-28,Central Michigan,W,99,65,31,53,.585,9,16,.563,28,28,1.000,8,30,13,12,1,10,23,21,50,.420,9,21,.429,14,23,.609,9,22,9,5,2,17,21
32,2023-03-03,Ball State,W,87,81,33,60,.550,10,15,.667,11,12,.917,4,25,14,7,1,7,17,31,57,.544,5,20,.250,14,19,.737,4,27,16,3,6,10,16
33,2023-03-09,Miami (OH),W,91,75,32,55,.582,8,21,.381,19,26,.731,7,27,18,7,4,10,15,24,57,.421,6,20,.300,21,22,.955,11,27,7,5,4,12,17
34,2023-03-10,Ohio,W,82,75,29,56,.518,7,20,.350,17,23,.739,5,28,9,7,4,12,14,27,70,.386,10,30,.333,11,14,.786,19,40,6,8,2,17,19
35,2023-03-11,Kent State,L,78,93,25,59,.424,7,27,.259,21,27,.778,10,27,8,5,3,8,18,34,61,.557,10,24,.417,15,20,.750,10,33,15,4,7,10,19
1,2022-11-07,Albany (NY),W,67,62,23,53,.434,3,12,.250,18,21,.857,7,28,13,6,3,13,16,19,53,.358,10,31,.323,14,18,.778,10,33,14,5,4,15,21
2,2022-11-10,UMass,W,67,55,25,47,.532,7,16,.438,10,21,.476,8,35,17,5,5,16,24,20,58,.345,3,14,.214,12,22,.545,12,27,11,7,1,10,17
3,2022-11-13,Penn,W,80,74,24,54,.444,9,23,.391,23,32,.719,8,30,14,8,5,11,12,28,61,.459,9,27,.333,9,10,.900,8,28,14,8,6,13,24
4,2022-11-17,UNC Greensboro,W,56,53,22,52,.423,3,16,.188,9,11,.818,10,36,10,5,7,15,13,18,63,.286,8,25,.320,9,12,.750,12,33,10,11,3,8,13
5,2022-11-22,Coppin State,W,83,67,32,61,.525,9,24,.375,10,15,.667,13,40,17,4,4,9,14,24,58,.414,8,27,.296,11,14,.786,5,22,7,6,3,5,15
6,2022-11-25,Fairfield,L,69,74,24,54,.444,3,13,.231,18,24,.750,11,32,8,2,2,8,17,25,50,.500,11,23,.478,13,20,.650,7,26,6,1,2,8,20
7,2022-11-26,South Alabama,W,62,60,24,54,.444,4,11,.364,10,18,.556,8,35,15,5,3,13,10,23,58,.397,7,26,.269,7,10,.700,5,28,14,4,1,11,15
8,2022-11-27,Mercer,W,70,60,24,60,.400,8,17,.471,14,17,.824,11,35,14,5,4,9,17,19,49,.388,10,23,.435,12,16,.750,6,28,15,2,2,10,18
9,2022-12-02,LIU,W,74,64,27,57,.474,5,22,.227,15,22,.682,15,37,18,8,5,10,11,24,55,.436,8,18,.444,8,10,.800,6,23,17,5,2,10,16
10,2022-12-07,Clemson,L,75,80,28,67,.418,9,26,.346,10,15,.667,14,35,10,8,2,7,17,28,52,.538,14,23,.609,10,15,.667,7,31,21,1,3,13,17
11,2022-12-11,Navy,L (1 OT),69,71,23,53,.434,6,20,.300,17,24,.708,10,32,15,7,2,17,16,29,62,.468,7,22,.318,6,8,.750,9,30,14,8,0,13,20
12,2022-12-17,Northern Iowa,L,66,83,24,57,.421,8,25,.320,10,15,.667,11,28,20,10,1,17,21,26,48,.542,6,18,.333,25,34,.735,5,26,16,8,1,13,18
13,2022-12-22,Bryant,L,59,69,22,62,.355,4,18,.222,11,17,.647,15,36,11,11,3,16,18,24,57,.421,7,26,.269,14,18,.778,7,29,14,8,3,18,18
14,2022-12-31,College of Charleston,L (1 OT),74,76,26,61,.426,7,13,.538,15,20,.750,10,28,14,10,3,18,16,26,60,.433,13,31,.419,11,14,.786,14,34,16,8,6,24,18
15,2023-01-05,Drexel,W,64,58,25,55,.455,6,13,.462,8,10,.800,6,31,13,5,4,7,12,24,59,.407,7,24,.292,3,7,.429,11,33,9,5,1,9,13
16,2023-01-07,Stony Brook,W,67,55,27,56,.482,9,20,.450,4,7,.571,7,35,16,3,2,7,13,20,52,.385,8,25,.320,7,9,.778,2,24,13,4,0,7,10
17,2023-01-11,Delaware,L,59,72,20,57,.351,7,21,.333,12,17,.706,11,29,12,7,4,12,19,23,45,.511,5,13,.385,21,23,.913,2,24,8,5,4,10,15
18,2023-01-14,Monmouth,W,68,48,22,56,.393,9,27,.333,15,21,.714,16,39,13,10,2,10,13,19,51,.373,3,17,.176,7,7,1.000,5,21,11,8,2,14,13
19,2023-01-16,Hofstra,W,68,47,27,60,.450,6,20,.300,8,14,.571,11,40,13,6,6,10,13,20,61,.328,4,27,.148,3,6,.500,9,27,10,6,6,11,12
20,2023-01-19,North Carolina A&T,W,79,67,31,59,.525,8,19,.421,9,11,.818,7,28,11,6,0,10,16,22,49,.449,8,20,.400,15,18,.833,5,24,13,4,3,12,15
21,2023-01-21,Elon,W,66,62,21,57,.368,11,26,.423,13,16,.813,14,31,12,6,1,13,16,20,52,.385,5,21,.238,17,19,.895,10,31,12,9,1,14,15
22,2023-01-26,Northeastern,W,72,63,24,61,.393,7,17,.412,17,22,.773,11,32,15,3,3,4,16,22,57,.386,5,23,.217,14,19,.737,9,33,10,2,4,11,18
23,2023-01-28,William & Mary,W,92,73,37,71,.521,10,24,.417,8,8,1.000,12,32,17,6,8,6,14,26,53,.491,12,21,.571,9,13,.692,7,22,15,1,4,13,14
24,2023-02-02,Hofstra,L,72,76,29,64,.453,9,27,.333,5,10,.500,10,35,14,3,3,10,16,30,60,.500,11,28,.393,5,10,.500,8,30,13,3,4,9,12
25,2023-02-08,Hampton,W,86,72,29,62,.468,10,22,.455,18,24,.750,12,41,17,6,6,10,19,25,61,.410,7,21,.333,15,24,.625,8,28,11,2,4,7,19
26,2023-02-11,Drexel,L (1 OT),66,73,24,59,.407,5,12,.417,13,19,.684,8,22,9,11,0,10,20,24,53,.453,5,19,.263,20,21,.952,10,34,8,3,7,16,16
27,2023-02-13,William & Mary,L,66,68,24,55,.436,5,19,.263,13,18,.722,14,36,10,8,3,8,15,23,52,.442,10,19,.526,12,17,.706,6,23,14,3,1,9,17
28,2023-02-16,Delaware,W,95,72,39,62,.629,16,22,.727,1,5,.200,9,32,27,8,3,17,15,27,58,.466,6,21,.286,12,16,.750,5,16,12,12,2,14,8
29,2023-02-18,North Carolina A&T,W,87,75,27,69,.391,15,39,.385,18,22,.818,16,51,18,1,6,12,14,28,74,.378,8,20,.400,11,12,.917,12,33,11,8,3,6,20
30,2023-02-23,College of Charleston,L,75,83,26,55,.473,9,20,.450,14,24,.583,7,29,13,6,3,16,26,25,55,.455,4,16,.250,29,35,.829,8,33,9,9,0,12,21
31,2023-02-25,UNC Wilmington,W,57,53,18,49,.367,4,17,.235,17,21,.810,7,38,6,7,3,16,19,18,46,.391,5,15,.333,12,20,.600,1,26,7,8,5,14,18
32,2023-03-05,Delaware,W,86,60,34,57,.596,5,17,.294,13,17,.765,8,41,19,4,4,10,15,24,62,.387,4,25,.160,8,13,.615,4,22,10,4,1,5,16
33,2023-03-06,College of Charleston,L,72,77,28,66,.424,7,25,.280,9,14,.643,10,37,10,5,3,13,25,21,61,.344,7,28,.250,28,35,.800,11,36,7,6,4,9,13
1,2022-11-07,Montevallo,W,87,67,29,64,.453,11,30,.367,18,27,.667,13,39,14,9,6,14,14,27,55,.491,6,27,.222,7,11,.636,2,26,14,6,2,16,23
2,2022-11-10,Mississippi University for Women,W,96,42,37,75,.493,7,29,.241,15,18,.833,11,43,14,18,6,13,15,15,52,.288,2,15,.133,10,14,.714,5,24,8,8,2,29,18
3,2022-11-14,Florida State,W,79,72,27,65,.415,12,30,.400,13,22,.591,8,27,18,11,0,10,26,20,44,.455,9,19,.474,23,33,.697,4,29,14,6,2,18,20
